project_id,project_name,label_id,label_name,shape_type,annotation_count
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373227,Weed_narrowleafed,mask,280
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373222,Flower_open,mask,1
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373223,Flower_closed,mask,1
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373226,Weed_broadleafed,points,2380
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373227,Weed_narrowleafed,points,215
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373219,leaf,points,18477
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373220,stem,points,3489
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373222,Flower_open,points,1
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373223,Flower_closed,points,46
281320,ImageSafari_Commonbean_PlantPart_Segmentation,5373224,Flower_dry,points,1
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373210,stem,polygon,9972
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373209,leaf,polygon,10611
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373211,Flower_panicle,polygon,2246
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373212,Weed_broadleafed,polygon,7232
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373213,Weed_narrowleafed,polygon,403
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373212,Weed_broadleafed,points,2110
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373209,leaf,points,19494
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373210,stem,points,3258
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373213,Weed_narrowleafed,points,219
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373211,Flower_panicle,points,2135
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373214,discard,polygon,4
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373209,leaf,mask,16042
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373211,Flower_panicle,mask,1329
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373210,stem,mask,2112
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373212,Weed_broadleafed,mask,1217
281319,ImageSafari_Sorghum_Plant-Part_Segmentation,5373213,Weed_narrowleafed,mask,58
281315,ImageSafari_PearlMillet_Tiller_Point_Annotation,5373134,Weed_broadleafed,points,1753
281315,ImageSafari_PearlMillet_Tiller_Point_Annotation,5373135,Weed_narrowleafed,points,809
281315,ImageSafari_PearlMillet_Tiller_Point_Annotation,5373131,Plant_millet,points,181
281315,ImageSafari_PearlMillet_Tiller_Point_Annotation,5373133,Stem_tiller,points,47
281315,ImageSafari_PearlMillet_Tiller_Point_Annotation,5373132,Stem_main,points,22
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373120,Flower_panicle,polygon,5258
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373119,stem,polygon,16864
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373118,leaf,polygon,5526
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373138,Weed_broadleafed,polygon,5752
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373139,Weed_narrowleafed,polygon,1328
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373140,discard,polygon,10
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373119,stem,mask,4704
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373120,Flower_panicle,mask,5177
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373118,leaf,mask,20998
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373138,Weed_broadleafed,mask,487
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373139,Weed_narrowleafed,mask,12
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373118,leaf,points,25698
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373120,Flower_panicle,points,6668
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373119,stem,points,6818
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373138,Weed_broadleafed,points,2147
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373140,discard,mask,1
281314,ImageSafari_PearlMillet_PlantPart_Segmentation,5373139,Weed_narrowleafed,points,445
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368241,Weed_narrowleafed,points,3559
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368240,Weed_broadleafed,points,2499
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368237,Plant_maize,points,101
280977,ImageSafari_Maize_tillers_Point-Annotation&Scribble-Annotation,5368239,Stem_tiller,points,1
280639,ImageSafari_Maize_PlantPart_Segmentation,5364843,Weed_broadleafed,polygon,1194
280639,ImageSafari_Maize_PlantPart_Segmentation,5364840,Flower_tassel,polygon,1915
280639,ImageSafari_Maize_PlantPart_Segmentation,5364837,leaf,polygon,1538
280639,ImageSafari_Maize_PlantPart_Segmentation,5364838,stem,polygon,4690
280639,ImageSafari_Maize_PlantPart_Segmentation,5364841,Flower_silk,polygon,325
280639,ImageSafari_Maize_PlantPart_Segmentation,5364839,Fruit_cob,polygon,283
280639,ImageSafari_Maize_PlantPart_Segmentation,5364844,Weed_narrowleafed,polygon,174
280639,ImageSafari_Maize_PlantPart_Segmentation,5364837,leaf,mask,21977
280639,ImageSafari_Maize_PlantPart_Segmentation,5628236,discard,polygon,1
280639,ImageSafari_Maize_PlantPart_Segmentation,5364839,Fruit_cob,mask,230
280639,ImageSafari_Maize_PlantPart_Segmentation,5364843,Weed_broadleafed,mask,161
280639,ImageSafari_Maize_PlantPart_Segmentation,5364841,Flower_silk,mask,298
280639,ImageSafari_Maize_PlantPart_Segmentation,5364840,Flower_tassel,mask,758
280639,ImageSafari_Maize_PlantPart_Segmentation,5364838,stem,mask,1683
280639,ImageSafari_Maize_PlantPart_Segmentation,5364844,Weed_narrowleafed,mask,41
280639,ImageSafari_Maize_PlantPart_Segmentation,5364837,leaf,points,47321
280639,ImageSafari_Maize_PlantPart_Segmentation,5364839,Fruit_cob,points,1641
280639,ImageSafari_Maize_PlantPart_Segmentation,5364838,stem,points,5594
280639,ImageSafari_Maize_PlantPart_Segmentation,5364841,Flower_silk,points,774
280639,ImageSafari_Maize_PlantPart_Segmentation,5364840,Flower_tassel,points,2191
280639,ImageSafari_Maize_PlantPart_Segmentation,5364844,Weed_narrowleafed,points,624
280639,ImageSafari_Maize_PlantPart_Segmentation,5364843,Weed_broadleafed,points,528
278471,Cvat testing,5354536,soil,polygon,1
278471,Cvat testing,5324500,Weed_broadleafed,polygon,2
278471,Cvat testing,5324495,Plant_maize,polygon,1
272718,ImageSafari_Maize,5256593,Weed_broadleafed,polygon,2430
272718,ImageSafari_Maize,5256599,Plant_maize,polygon,379
272718,ImageSafari_Maize,5256600,Stem_main,polygon,82
272718,ImageSafari_Maize,5256601,Stem_tiller,polygon,73
272718,ImageSafari_Maize,5256594,Weed_narrowleafed,polygon,2196
272718,ImageSafari_Maize,5255173,leaf,polygon,139770
272718,ImageSafari_Maize,5259837,discard,polygon,19
272718,ImageSafari_Maize,5256591,Flower_tassel,polygon,3959
272718,ImageSafari_Maize,5259832,stem,polygon,12541
